Date,Open,High,Low,Close,Volume,AdjustedClose
20240306,6100.000,6200.000,6100.000,6200.000,84108800,6200.000
20240307,6200.000,6275.000,6200.000,6225.000,117724700,6225.000
20240308,6275.000,6400.000,6250.000,6350.000,163060000,6350.000
20240313,6350.000,6450.000,6350.000,6400.000,195173100,6400.000
20240314,6175.000,6200.000,6050.000,6150.000,271254000,6150.000
20240315,6000.000,6075.000,5950.000,5975.000,305995800,5975.000
20240318,6000.000,6100.000,5975.000,6000.000,110564700,6000.000
20240319,6000.000,6050.000,5975.000,6000.000,114338600,6000.000
20240320,6000.000,6100.000,6000.000,6100.000,120885400,6100.000
20240321,6175.000,6200.000,6100.000,6100.000,136020000,6100.000
20240322,6050.000,6125.000,6050.000,6125.000,74936500,6125.000
20240325,6150.000,6250.000,6125.000,6250.000,115729600,6250.000
20240326,6200.000,6300.000,6200.000,6300.000,120748400,6300.000
20240327,6300.000,6325.000,6225.000,6250.000,73308900,6250.000
20240328,6100.000,6200.000,6025.000,6050.000,288926900,6050.000
20240401,6000.000,6025.000,5825.000,5925.000,217200400,5925.000
20240402,5850.000,5950.000,5625.000,5675.000,412180900,5675.000
20240403,5575.000,5675.000,5525.000,5625.000,333518700,5625.000
20240404,5650.000,5750.000,5650.000,5700.000,133406600,5700.000
20240405,5625.000,5700.000,5625.000,5650.000,178817800,5650.000
20240416,5375.000,5575.000,5350.000,5350.000,600717500,5350.000
20240417,5475.000,5500.000,5300.000,5300.000,244002000,5300.000
20240418,5300.000,5500.000,5300.000,5475.000,247410700,5475.000
20240419,5350.000,5375.000,5250.000,5275.000,258211500,5275.000
20240422,5200.000,5325.000,5150.000,5300.000,342282800,5300.000
20240423,5350.000,5400.000,5225.000,5300.000,283676400,5300.000
20240424,5250.000,5350.000,5150.000,5225.000,471241400,5225.000
20240425,5125.000,5200.000,5050.000,5150.000,479170900,5150.000
20240426,5050.000,5100.000,4830.000,4830.000,782589900,4830.000
20240429,4700.000,4890.000,4680.000,4770.000,700644800,4770.000
20240430,4850.000,5050.000,4820.000,4940.000,565609200,4940.000
20240502,4910.000,4920.000,4700.000,4760.000,636922100,4760.000
20240503,4760.000,4830.000,4710.000,4750.000,322179100,4750.000
20240506,4800.000,4840.000,4730.000,4790.000,262707400,4790.000
20240507,4770.000,4780.000,4670.000,4670.000,304013600,4670.000
20240508,4650.000,4740.000,4570.000,4680.000,572275800,4680.000
20240513,4650.000,4700.000,4630.000,4680.000,320067100,4680.000
20240514,4720.000,4810.000,4700.000,4730.000,341458900,4730.000
20240515,4780.000,4870.000,4760.000,4820.000,298990300,4820.000
20240516,4930.000,4960.000,4840.000,4840.000,371295000,4840.000
20240517,4840.000,4960.000,4820.000,4920.000,208991800,4920.000
20240520,4990.000,5050.000,4820.000,4820.000,335150700,4820.000
20240521,4810.000,4870.000,4680.000,4680.000,272599400,4680.000
20240522,4650.000,4770.000,4650.000,4720.000,215066000,4720.000
20240527,4700.000,4720.000,4550.000,4550.000,363719300,4550.000
20240528,4580.000,4630.000,4520.000,4530.000,258070200,4530.000
20240529,4480.000,4500.000,4400.000,4410.000,465008500,4410.000
20240530,4400.000,4480.000,4310.000,4380.000,502927800,4380.000
20240531,4430.000,4470.000,4330.000,4340.000,655144100,4340.000
20240603,4430.000,4560.000,4400.000,4530.000,345770100,4530.000
20240604,4560.000,4590.000,4450.000,4450.000,332902200,4450.000
20240605,4500.000,4500.000,4400.000,4400.000,246362500,4400.000
20240606,4450.000,4500.000,4390.000,4500.000,281534200,4500.000
20240607,4490.000,4500.000,4350.000,4350.000,375439600,4350.000
20240610,4350.000,4430.000,4320.000,4400.000,181387000,4400.000
20240611,4380.000,4440.000,4340.000,4340.000,197854400,4340.000
20240612,4340.000,4360.000,4310.000,4350.000,187332500,4350.000
20240613,4400.000,4420.000,4300.000,4310.000,238349600,4310.000
20240614,4300.000,4320.000,4170.000,4180.000,358893200,4180.000
20240619,4100.000,4240.000,4090.000,4100.000,410338400,4100.000
20240620,4130.000,4270.000,4130.000,4270.000,387133400,4270.000
20240621,4280.000,4490.000,4260.000,4440.000,542704300,4440.000
20240624,4440.000,4510.000,4400.000,4400.000,303830800,4400.000
